playerID,playerName,team,position,pts_std,pts_ppr,pts_half_ppr,pass_att,pass_cmp,pass_yd,pass_td,pass_int,rush_att,rush_yd,rush_td,rec_tgt,rec,rec_yd,rec_td,off_snp,opponent
2216,Mike Evans,TB,WR,5.1,10.1,7.6,,,,,,,,,8.0,5.0,51.0,,48.0,ATL
7562,Tutu Atwell,LAR,WR,0.4,1.4,0.9,,,,,,,,,1.0,1.0,4.0,,25.0,HOU
8132,Tyler Allgeier,ATL,RB,2.4,2.4,2.4,,,,,,10.0,24.0,,,,,,19.0,TB
8254,Julius Chestnut,TEN,RB,0.2,0.2,0.2,,,,,,2.0,2.0,,,,,,6.0,DEN
12489,RJ Harvey,DEN,RB,6.9,7.9,7.4,,,,,,6.0,70.0,,1.0,1.0,-1.0,,22.0,TEN
7535,Hunter Long,JAX,TE,6.6,7.6,7.1,,,,,,,,,1.0,1.0,6.0,1.0,6.0,CAR
12482,Savion Williams,GB,WR,0.1,1.1,0.6,,,,,,,,,1.0,1.0,1.0,,3.0,DET
11959,Bryce Oliver,TEN,WR,0.8,1.8,1.3,,,,,,,,,1.0,1.0,8.0,,3.0,DEN
3198,Derrick Henry,BAL,RB,28.2,29.2,28.7,,,,,,18.0,169.0,2.0,1.0,1.0,13.0,,29.0,BUF
12522,Cam Ward,TEN,QB,2.5,2.5,2.5,28.0,12.0,112.0,,,,,,,,,,57.0,DEN
8143,Jerome Ford,CLE,RB,0.5,1.5,1.0,,,,,,6.0,8.0,,1.0,1.0,-3.0,,41.0,CIN
9493,Puka Nacua,LAR,WR,13.1,23.1,18.1,,,,,,1.0,1.0,,11.0,10.0,130.0,,38.0,HOU
4981,Calvin Ridley,TEN,WR,2.7,6.7,4.7,,,,,,,,,8.0,4.0,27.0,,54.0,DEN
4171,Josh Reynolds,NYJ,WR,1.8,3.8,2.8,,,,,,,,,3.0,2.0,18.0,,62.0,PIT
11577,Will Shipley,PHI,RB,2.6,2.6,2.6,,,,,,3.0,26.0,,,,,,5.0,DAL
12540,Chimere Dike,TEN,WR,0.9,0.9,0.9,,,,,,1.0,9.0,,1.0,,,,10.0,DEN
5859,A.J. Brown,PHI,WR,0.8,1.8,1.3,,,,,,,,,1.0,1.0,8.0,,55.0,DAL
4034,Christian McCaffrey,SF,RB,14.2,23.2,18.7,,,,,,22.0,69.0,,10.0,9.0,73.0,,58.0,SEA
7591,Justin Fields,NYJ,QB,29.5,29.5,29.5,22.0,16.0,218.0,1.0,,12.0,48.0,2.0,,,,,64.0,PIT
4866,Saquon Barkley,PHI,RB,14.4,18.4,16.4,,,,,,18.0,60.0,1.0,5.0,4.0,24.0,,50.0,DAL
5967,Tony Pollard,TEN,RB,6.9,7.9,7.4,,,,,,18.0,60.0,,1.0,1.0,29.0,,51.0,DEN
12641,Jaylin Lane,WAS,WR,1.1,2.1,1.6,,,,,,,,,2.0,1.0,11.0,,21.0,
10213,Tre Tucker,LV,WR,11.4,13.4,12.4,,,,,,,,,3.0,2.0,54.0,1.0,57.0,NE
8130,Trey McBride,ARI,TE,6.1,12.1,9.1,,,,,,,,,9.0,6.0,61.0,,64.0,NO
8142,Alec Pierce,IND,WR,3.6,4.6,4.1,,,,,,,,,3.0,1.0,36.0,,58.0,MIA
3214,Hunter Henry,NE,TE,6.6,10.6,8.6,,,,,,,,,8.0,4.0,66.0,,66.0,LV
7523,Trevor Lawrence,JAX,QB,11.3,11.3,11.3,31.0,19.0,178.0,1.0,1.0,4.0,12.0,,,,,,66.0,CAR
4066,Evan Engram,DEN,TE,2.1,5.1,3.6,,,,,,,,,4.0,3.0,21.0,,26.0,TEN
12533,Jacory Croskey-Merritt,WAS,RB,14.2,14.2,14.2,,,,,,10.0,82.0,1.0,1.0,,,,23.0,
6945,Antonio Gibson,NE,RB,0.3,0.3,0.3,,,,,,1.0,3.0,,1.0,,,,5.0,LV
11565,J.J. McCarthy,MIN,QB,23.2,23.2,23.2,20.0,13.0,143.0,2.0,1.0,2.0,25.0,1.0,,,,,56.0,CHI
8676,Rashid Shaheed,SEA,WR,3.3,9.3,6.3,,,,,,,,,9.0,6.0,33.0,,64.0,SF
6271,Olamide Zaccheaus,CHI,WR,4.2,8.2,6.2,,,,,,,,,7.0,4.0,42.0,,30.0,MIN
12527,Ashton Jeanty,LV,RB,10.0,12.0,11.0,,,,,,19.0,38.0,1.0,2.0,2.0,2.0,,54.0,NE
4983,DJ Moore,CHI,WR,5.6,8.6,7.1,,,,,,3.0,8.0,,5.0,3.0,68.0,,56.0,MIN
5022,Dallas Goedert,PHI,TE,4.4,11.4,7.9,,,,,,,,,7.0,7.0,44.0,,52.0,DAL
1689,Adam Thielen,MIN,WR,2.0,2.0,2.0,,,,,,,,,1.0,,,,32.0,CHI
12495,Ollie Gordon,MIA,RB,0.3,1.3,0.8,,,,,,2.0,4.0,,1.0,1.0,-1.0,,12.0,IND
5133,Tyler Conklin,LAC,TE,5.2,7.2,6.2,,,,,,1.0,2.0,,2.0,2.0,50.0,,28.0,KC
8917,KaVontae Turpin,DAL,WR,2.7,4.7,3.7,,,,,,2.0,9.0,,2.0,2.0,18.0,,28.0,PHI
11655,Tyrone Tracy,NYG,RB,3.5,5.5,4.5,,,,,,10.0,24.0,,5.0,2.0,11.0,,50.0,WSH
9226,De'Von Achane,MIA,RB,13.5,16.5,15.0,,,,,,7.0,55.0,,4.0,3.0,20.0,1.0,35.0,IND
9494,Marvin Mims,DEN,WR,-0.8,2.2,0.7,,,,,,,,,4.0,3.0,12.0,,40.0,TEN
11559,Michael Penix,ATL,QB,24.0,24.0,24.0,42.0,27.0,298.0,1.0,,6.0,21.0,1.0,,,,,76.0,TB
4993,Mike Gesicki,CIN,TE,1.4,2.4,1.9,,,,,,,,,3.0,1.0,14.0,,16.0,CLE
11627,Troy Franklin,DEN,WR,4.4,8.4,6.4,,,,,,,,,6.0,4.0,44.0,,45.0,TEN
5955,Hunter Renfrow,CAR,WR,1.1,3.1,2.1,,,,,,,,,6.0,2.0,11.0,,42.0,JAX
6869,Adam Trautman,DEN,TE,0.5,1.5,1.0,,,,,,,,,1.0,1.0,5.0,,44.0,TEN
9509,Bijan Robinson,ATL,RB,18.4,24.4,21.4,,,,,,12.0,24.0,,7.0,6.0,100.0,1.0,63.0,TB
7525,DeVonta Smith,PHI,WR,1.6,4.6,3.1,,,,,,,,,3.0,3.0,16.0,,56.0,DAL
12530,Travis Hunter,JAX,WR,3.3,9.3,6.3,,,,,,,,,8.0,6.0,33.0,,42.0,CAR
12476,Devin Neal,NO,RB,0.9,0.9,0.9,,,,,,2.0,9.0,,,,,,7.0,ARI
12490,Bhayshul Tuten,JAX,RB,1.1,1.1,1.1,,,,,,3.0,11.0,,,,,,4.0,CAR
8112,Drake London,ATL,WR,5.5,13.5,9.5,,,,,,,,,15.0,8.0,55.0,,67.0,TB
11632,Malik Nabers,NYG,WR,7.1,12.1,9.6,,,,,,,,,12.0,5.0,71.0,,64.0,WSH
4177,Mack Hollins,NE,WR,0.3,1.3,0.8,,,,,,,,,2.0,1.0,3.0,,40.0,LV
5848,Marquise Brown,KC,WR,9.9,19.9,14.9,,,,,,,,,16.0,10.0,99.0,,57.0,LAC
11371,Julian Hill,MIA,TE,2.0,2.0,2.0,,,,,,,,,,,,,28.0,IND
6770,Joe Burrow,CIN,QB,8.8,8.8,8.8,23.0,14.0,113.0,1.0,,2.0,3.0,,,,,,52.0,CLE
10214,Davis Allen,LAR,TE,7.3,8.3,7.8,,,,,,,,,2.0,1.0,13.0,1.0,22.0,HOU
12499,Elic Ayomanor,TEN,WR,1.3,3.3,2.3,,,,,,,,,7.0,2.0,13.0,,45.0,DEN
9221,Jahmyr Gibbs,DET,RB,5.0,15.0,10.0,,,,,,9.0,19.0,,10.0,10.0,31.0,,44.0,GB
3163,Jared Goff,DET,QB,11.9,11.9,11.9,39.0,31.0,225.0,1.0,1.0,1.0,-1.0,,,,,,67.0,GB
4039,Cooper Kupp,SEA,WR,1.5,3.5,2.5,,,,,,,,,3.0,2.0,15.0,,46.0,SF
12483,Jack Bech,LV,WR,2.3,3.3,2.8,,,,,,,,,1.0,1.0,23.0,,4.0,NE
10234,Derius Davis,LAC,WR,0.3,0.3,0.3,,,,,,1.0,3.0,,,,,,8.0,KC
8148,Jameson Williams,DET,WR,2.6,6.6,4.6,,,,,,1.0,3.0,,5.0,4.0,23.0,,65.0,GB
10444,Cedric Tillman,CLE,WR,11.2,16.2,13.7,,,,,,,,,8.0,5.0,52.0,1.0,67.0,CIN
7612,Dee Eskridge,MIA,WR,0.9,1.9,1.4,,,,,,,,,2.0,1.0,9.0,,13.0,IND
4217,George Kittle,SF,TE,8.5,12.5,10.5,,,,,,,,,4.0,4.0,25.0,1.0,21.0,SEA
11628,Marvin Harrison,ARI,WR,13.1,18.1,15.6,,,,,,,,,6.0,5.0,71.0,1.0,59.0,NO
1479,Keenan Allen,LAC,WR,12.8,19.8,16.3,,,,,,,,,10.0,7.0,68.0,1.0,40.0,KC
12531,Trevor Etienne,CAR,RB,0.4,0.4,0.4,,,,,,1.0,4.0,,,,,,2.0,JAX
8183,Brock Purdy,SF,QB,18.8,18.8,18.8,35.0,26.0,277.0,2.0,2.0,5.0,17.0,,,,,,76.0,SEA
1234,Russell Wilson,NYG,QB,11.1,11.1,11.1,37.0,17.0,168.0,,,8.0,44.0,,,,,,68.0,WSH
12541,Dont'e Thornton,LV,WR,4.5,6.5,5.5,,,,,,,,,4.0,2.0,45.0,,38.0,NE
8151,Kenneth Walker,SEA,RB,2.4,5.4,3.9,,,,,,10.0,20.0,,3.0,3.0,4.0,,21.0,SF
10236,Dalton Kincaid,BUF,TE,10.8,14.8,12.8,,,,,,,,,4.0,4.0,48.0,1.0,43.0,BAL
7547,Amon-Ra St. Brown,DET,WR,4.5,8.5,6.5,,,,,,,,,6.0,4.0,45.0,,63.0,GB
9481,Luke Musgrave,GB,TE,0.4,1.4,0.9,,,,,,,,,1.0,1.0,4.0,,17.0,DET
8129,Dameon Pierce,HOU,RB,0.5,0.5,0.5,,,,,,3.0,5.0,,1.0,,,,7.0,LAR
4080,Zay Jones,ARI,WR,0.4,1.4,0.9,,,,,,,,,1.0,1.0,4.0,,31.0,NO
4147,Samaje Perine,CIN,RB,0.6,2.6,1.6,,,,,,,,,2.0,2.0,6.0,,13.0,CLE
12536,Jaylin Noel,HOU,WR,0.7,1.7,1.2,,,,,,,,,2.0,1.0,7.0,,17.0,LAR
6826,Cole Kmet,CHI,TE,3.1,4.1,3.6,,,,,,,,,4.0,1.0,31.0,,60.0,MIN
12526,Tetairoa McMillan,CAR,WR,6.8,11.8,9.3,,,,,,,,,9.0,5.0,68.0,,53.0,JAX
11563,Bo Nix,DEN,QB,8.8,8.8,8.8,40.0,25.0,176.0,1.0,2.0,8.0,18.0,,,,,,76.0,TEN
2449,Stefon Diggs,NE,WR,5.7,11.7,8.7,,,,,,,,,7.0,6.0,57.0,,29.0,LV
7567,Kenneth Gainwell,PIT,RB,3.3,6.3,4.8,,,,,,7.0,19.0,,4.0,3.0,4.0,,30.0,NYJ
7543,Travis Etienne,JAX,RB,15.6,18.6,17.1,,,,,,16.0,143.0,,3.0,3.0,13.0,,40.0,CAR
7757,Ben Skowronek,PIT,WR,9.2,10.2,9.7,,,,,,,,,1.0,1.0,22.0,1.0,10.0,NYJ
11570,Rasheen Ali,BAL,RB,0.5,0.5,0.5,,,,,,1.0,5.0,,,,,,1.0,BUF
12534,Kyle Monangai,CHI,RB,1.1,2.1,1.6,,,,,,,,,1.0,1.0,11.0,,9.0,MIN
8849,Tanner Conner,MIA,TE,2.0,4.0,3.0,,,,,,,,,4.0,2.0,20.0,,28.0,IND
11631,Brian Thomas,JAX,WR,8.0,9.0,8.5,,,,,,1.0,9.0,1.0,7.0,1.0,11.0,,57.0,CAR
5892,David Montgomery,DET,RB,4.3,8.3,6.3,,,,,,11.0,25.0,,4.0,4.0,18.0,,25.0,GB
12469,Dylan Sampson,CLE,RB,9.3,17.3,13.3,,,,,,12.0,29.0,,8.0,8.0,64.0,,33.0,CIN
12502,Gunnar Helm,TEN,TE,1.6,2.6,2.1,,,,,,,,,2.0,1.0,16.0,,23.0,DEN
7571,Rashod Bateman,BAL,WR,1.0,3.0,2.0,,,,,,,,,4.0,2.0,10.0,,37.0,BUF
11306,Xavier Gipson,PHI,WR,-2.0,-2.0,-2.0,,,,,,,,,,,,,,DAL
5927,Terry McLaurin,WAS,WR,2.7,4.7,3.7,,,,,,,,,4.0,2.0,27.0,,55.0,
4199,Aaron Jones,MIN,RB,12.7,15.7,14.2,,,,,,8.0,23.0,,3.0,3.0,44.0,1.0,28.0,CHI
12472,Raheim Sanders,CLE,RB,6.3,6.3,6.3,,,,,,3.0,3.0,1.0,,,,,3.0,CIN
12498,Mason Taylor,NYJ,TE,2.0,3.0,2.5,,,,,,,,,1.0,1.0,20.0,,56.0,PIT
12481,Cam Skattebo,NYG,RB,0.9,2.9,1.9,,,,,,2.0,-3.0,,2.0,2.0,12.0,,8.0,WSH
10218,Xavier Hutchinson,HOU,WR,3.5,5.5,4.5,,,,,,1.0,5.0,,2.0,2.0,30.0,,43.0,LAR
11623,Jordan Whittington,LAR,WR,0.5,0.5,0.5,,,,,,1.0,5.0,,,,,,30.0,HOU
9225,Tank Bigsby,PHI,RB,1.2,1.2,1.2,,,,,,5.0,12.0,,,,,,14.0,DAL
11603,AJ Barner,SEA,TE,0.2,1.2,0.7,,,,,,1.0,2.0,,2.0,1.0,,,44.0,SF
9757,Kendre Miller,NO,RB,2.4,2.4,2.4,,,,,,5.0,24.0,,,,,,11.0,ARI
7670,Joshua Palmer,BUF,WR,6.1,11.1,8.6,,,,,,,,,9.0,5.0,61.0,,53.0,BAL
7611,Rhamondre Stevenson,NE,RB,2.7,4.7,3.7,,,,,,7.0,15.0,,3.0,2.0,12.0,,46.0,LV
12547,Kyle Williams,NE,WR,1.2,2.2,1.7,,,,,,,,,1.0,1.0,12.0,,7.0,LV
8150,Kyren Williams,LAR,RB,12.9,13.9,13.4,,,,,,18.0,66.0,1.0,2.0,1.0,3.0,,49.0,HOU
8121,Romeo Doubs,GB,WR,6.8,8.8,7.8,,,,,,,,,4.0,2.0,68.0,,34.0,DET
7600,Pat Freiermuth,PIT,TE,2.8,5.8,4.3,,,,,,,,,3.0,3.0,28.0,,28.0,NYJ
8228,Jaylen Warren,PIT,RB,11.9,13.9,12.9,,,,,,11.0,37.0,,2.0,2.0,22.0,1.0,25.0,NYJ
11562,Spencer Rattler,NO,QB,11.5,11.5,11.5,46.0,27.0,214.0,,,4.0,29.0,,,,,,75.0,ARI
11626,Xavier Legette,CAR,WR,1.0,4.0,2.5,,,,,,,,,7.0,3.0,10.0,,50.0,JAX
11637,Keon Coleman,BUF,WR,17.2,25.2,21.2,,,,,,,,,11.0,8.0,112.0,1.0,75.0,BAL
